File Definition, /mnt/hgfs/OpenSatKit/cosmos/config/tools/table_manager/md_tbl.txt
File Binary, /mnt/hgfs/OpenSatKit/cosmos/cfs_kit/file_server/tables/osk_tmp_tbl.dat

MD DWELL_TABLE
Label, Value
CONTENT TYPE, cFE1, 
SUBTYPE, 8, 
LENGTH, 64, 
SPACECRAFT ID, 42, 
PROCESSOR ID, 1, 
APPLICATION ID, 4, 
TIME SECONDS, 1055701, 
TIME SUBSECONDS, 3613986816, 
DESCRIPTION, Table Dump Image, 
RESERVED, 0, 
OFFSET, 0, 
NUMBYTE, 1836, 
NAME, MD.DWELL_TABLE1, 
ENABLED, 1, 
SIGNATURE, Table  Demo, 
ENTRY0_DATA_LEN, 4, 
ENTRY0_DELAY, 1, 
ENTRY0_ADDR_OFFSET, 268, 
ENTRY0_ADDR_SYMBOL, MM_AppData, 
ENTRY1_DATA_LEN, 4, 
ENTRY1_DELAY, 1, 
ENTRY1_ADDR_OFFSET, 260, 
ENTRY1_ADDR_SYMBOL, MM_AppData, 
ENTRY2_DATA_LEN, 4, 
ENTRY2_DELAY, 1, 
ENTRY2_ADDR_OFFSET, 264, 
ENTRY2_ADDR_SYMBOL, MM_AppData, 
ENTRY3_DATA_LEN, 4, 
ENTRY3_DELAY, 1, 
ENTRY3_ADDR_OFFSET, 268, 
ENTRY3_ADDR_SYMBOL, MM_AppData, 
ENTRY4_DATA_LEN, 0, 
ENTRY4_DELAY, 0, 
ENTRY4_ADDR_OFFSET, 0, 
ENTRY4_ADDR_SYMBOL, , 
ENTRY5_DATA_LEN, 0, 
ENTRY5_DELAY, 0, 
ENTRY5_ADDR_OFFSET, 0, 
ENTRY5_ADDR_SYMBOL, , 
ENTRY6_DATA_LEN, 0, 
ENTRY6_DELAY, 0, 
ENTRY6_ADDR_OFFSET, 0, 
ENTRY6_ADDR_SYMBOL, , 
ENTRY7_DATA_LEN, 0, 
ENTRY7_DELAY, 0, 
ENTRY7_ADDR_OFFSET, 0, 
ENTRY7_ADDR_SYMBOL, , 
ENTRY8_DATA_LEN, 0, 
ENTRY8_DELAY, 0, 
ENTRY8_ADDR_OFFSET, 0, 
ENTRY8_ADDR_SYMBOL, , 
ENTRY9_DATA_LEN, 0, 
ENTRY9_DELAY, 0, 
ENTRY9_ADDR_OFFSET, 0, 
ENTRY9_ADDR_SYMBOL, , 
ENTRY10_DATA_LEN, 0, 
ENTRY10_DELAY, 0, 
ENTRY10_ADDR_OFFSET, 0, 
ENTRY10_ADDR_SYMBOL, , 
ENTRY11_DATA_LEN, 0, 
ENTRY11_DELAY, 0, 
ENTRY11_ADDR_OFFSET, 0, 
ENTRY11_ADDR_SYMBOL, , 
ENTRY12_DATA_LEN, 0, 
ENTRY12_DELAY, 0, 
ENTRY12_ADDR_OFFSET, 0, 
ENTRY12_ADDR_SYMBOL, , 
ENTRY13_DATA_LEN, 0, 
ENTRY13_DELAY, 0, 
ENTRY13_ADDR_OFFSET, 0, 
ENTRY13_ADDR_SYMBOL, , 
ENTRY14_DATA_LEN, 0, 
ENTRY14_DELAY, 0, 
ENTRY14_ADDR_OFFSET, 0, 
ENTRY14_ADDR_SYMBOL, , 
ENTRY15_DATA_LEN, 0, 
ENTRY15_DELAY, 0, 
ENTRY15_ADDR_OFFSET, 0, 
ENTRY15_ADDR_SYMBOL, , 
ENTRY16_DATA_LEN, 0, 
ENTRY16_DELAY, 0, 
ENTRY16_ADDR_OFFSET, 0, 
ENTRY16_ADDR_SYMBOL, , 
ENTRY17_DATA_LEN, 0, 
ENTRY17_DELAY, 0, 
ENTRY17_ADDR_OFFSET, 0, 
ENTRY17_ADDR_SYMBOL, , 
ENTRY18_DATA_LEN, 0, 
ENTRY18_DELAY, 0, 
ENTRY18_ADDR_OFFSET, 0, 
ENTRY18_ADDR_SYMBOL, , 
ENTRY19_DATA_LEN, 0, 
ENTRY19_DELAY, 0, 
ENTRY19_ADDR_OFFSET, 0, 
ENTRY19_ADDR_SYMBOL, , 
ENTRY20_DATA_LEN, 0, 
ENTRY20_DELAY, 0, 
ENTRY20_ADDR_OFFSET, 0, 
ENTRY20_ADDR_SYMBOL, , 
ENTRY21_DATA_LEN, 0, 
ENTRY21_DELAY, 0, 
ENTRY21_ADDR_OFFSET, 0, 
ENTRY21_ADDR_SYMBOL, , 
ENTRY22_DATA_LEN, 0, 
ENTRY22_DELAY, 0, 
ENTRY22_ADDR_OFFSET, 0, 
ENTRY22_ADDR_SYMBOL, , 
ENTRY23_DATA_LEN, 0, 
ENTRY23_DELAY, 0, 
ENTRY23_ADDR_OFFSET, 0, 
ENTRY23_ADDR_SYMBOL, , 
ENTRY24_DATA_LEN, 0, 
ENTRY24_DELAY, 0, 
ENTRY24_ADDR_OFFSET, 0, 
ENTRY24_ADDR_SYMBOL, , 

